Comment,Name,Code,Structure_source,Coordination_Number,Pd-P_transC,Pd-P_transC_se,Pd-P_transN_length,Pd-P_transN_length_se,Pd-C_length,Pd-C_length_se,Pd-N_length,Pd-N_length_se,C--N_length,P_transN-Pd-C_angle,P_transN-Pd-C_angle_se,P_transN-Pd-N_angle,P_transN-Pd-N_angle_se,P_transN-Pd-P_transC_angle,P_transN-Pd-P_transC_angle_se,P_transC-Pd-C_angle,P_transC-Pd-C_angle_se,P_transC-Pd-N_angle,P_transC-Pd-N_angle_se,C-Pd-N_angle,C-Pd-N_angle_se,Pd-P_transN-C1_angle,Pd-P_transN-C1_angle_se,Pd-P_transN-C2_angle,Pd-P_transN-C2_angle_se,Pd-P_transN-C3(bridge)_angle,Pd-P_transN-C3(bridge)_angle_se,C1-P_transN-C2_angle,C1-P_transN-C2_angle_se,C1-P_transN-C3(bridge)_angle,C1-P_transN-C3(bridge)_angle_se,C2-P_transN-C3(bridge)_angle,C2-P_transN-C3(bridge)_angle_se,Pd-P_transC-C1_angle,Pd-P_transC-C1_angle_se,Pd-P_transC-C2_angle,Pd-P_transC-C2_angle_se,Pd-P_transC-C3(bridge)_angle,Pd-P_transC-C3(bridge)_angle_se,C1-P_transC-C2_angle,C1-P_transC-C2_angle_se,C1-P_transC-C3(bridge)_angle,C1-P_transC-C3(bridge)_angle_se,C2-P_transC-C3(bridge)_angle,C2-P_transC-C3(bridge)_angle_se,P_transN-Pd-C-CH_dihedral,P_transN-Pd-C-CH_dihedral_se
NA,VIGNIJ,624042,Literature,4,2.378,,2.301,,2.035,,2.078,,2.764,85.3,,169.7,,102.2,,172.4,,88.1,,84.4,,115.5,,111.8,,119.6,,102,,101.9,,104,,115.2,,111.6,,119.1,,103.4,,102.2,,103.6,,85.9,NA
NA,F[4]*-NTf-OMe-P^t*Bu[3],2352939,New,3,NA,NA,2.2705,0.0005,1.9841,0.0018,2.0892,0.0015,2.804,103.86,0.06,156.64,0.04,NA,NA,NA,NA,NA,NA,86.97,0.07,126.71,0.06,105.49,0.06,91.37,0.06,110.66,0.09,110.12,0.09,110.65,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,14.27
PtBu3 ligand disordered (only major species shown),F[4]*-N^{Cl}*Ms-OMe-P^t*Bu[3],2352944,New,3,NA,NA,2.314,0.002,1.981,0.003,2.064,0.002,2.771,102.83,0.09,163.13,0.08,NA,NA,NA,NA,NA,NA,86.44,0.1,122.69,0.16,109.53,0.15,92.2,0.16,110.3,0.2,109.8,0.2,110.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9,20.95
NA,BEVCAH,239799,Literature,3,NA,,2.281,,1.987,,2.078,,2.852,102.658,,168.231,,NA,,NA,,NA,,89.058,,115.024,,95.431,,116.097,,109.898,,110.151,,109.1,,NA,,NA,,NA,,NA,,NA,,NA,,88.7,1.14
NA,BEVCAH,239799,Literature,3,NA,,2.285,,1.984,,2.08,,2.964,122.3,,166,,NA,,NA,,NA,,93.6,,93.9,,122.3,,109.4,,109.5,,109.5,,110.8,,NA,,NA,,NA,,NA,,NA,,NA,,76.16,5.76
NA,BEVCEL,239800,Literature,3,NA,,2.296,,1.965,,2.07,,2.939,97.374,,167.23,,NA,,NA,,NA,,93.457,,115.227,,99.706,,117.367,,100.664,,111.496,,110.157,,NA,,NA,,NA,,NA,,NA,,NA,,73.17,6.78
NA,BEVCIP,239801,Literature,3,NA,,2.264,,1.988,,2.091,,2.915,97.348,,168.524,,NA,,NA,,NA,,91.205,,118.369,,96.217,,116.116,,103.33,,112.294,,107.56,,NA,,NA,,NA,,NA,,NA,,NA,,83.7,7.67
PN3 Ligand,XIMQAO,1850179,Literature,3,NA,,2.259,,2,,2.097,,2.951,95.887,,169.933,,NA,,NA,,NA,,92.141,,105.77,,119.336,,110.274,,104.742,,105.087,,110.419,,NA,,NA,,NA,,NA,,NA,,NA,,56.2,6.08
MeCN = P_transC,F[4]*-N^{Cl}*Ms-OMe-P^t*Bu[3]-MeCN,2352938,New,4,2.151,,2.3512,,1.985,,2.098,,2.71,96.69,,157.38,,100.98,,159.81,,84.28,,83.13,,108.73,,102.56,,121.3,,110.24,,106.87,,106.85,,152.1,,NA,,NA,,NA,,NA,,NA,,77.6,NA
MeCN = P_transC,F[4]*-N^{Cl}*Ms-OMe-P^t*Bu[3]-MeCN,2352938,New,4,2.149,,2.3501,,1.982,,2.101,,2.711,96.31,,157.89,,100.73,,160.71,,84.41,,83.17,,108.61,,102.65,,121.35,,110.1,,106.95,,106.86,,154.9,,NA,,NA,,NA,,NA,,NA,,77.2,NA
